,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
1,1011AB,1011AB,23,100,"78,26",100,43,3x25,14761,"39,13",0,"1,9"
2,1011AC,1011AC,31,100,"77,42",100,58,3x25,12139,"16,13",0,2
4,1011AD,1011AD,21,100,"66,67",100,52,3x25,5082,"47,62",0,"2,3"
6,1011AE,1011AE,15,100,60,100,93,3x25,3712,"33,33",0,2
7,1011AG,1011AG,12,100,"91,67",100,83,3x25,19837,"41,67",0,"1,4"
8,1011AH,1011AH,21,100,100,100,100,3x25,3781,"14,29",0,"1,1"
9,1011AJ,1011AJ,18,100,"94,44",100,89,3x25,3478,"5,56",0,"2,1"
11,1011AK,1011AK,11,100,"90,91",100,82,3x25,5395,"36,36",0,"2,1"
12,1011AL,1011AM,14,100,"92,86",100,71,3x25,10168,"35,71",0,"2,7"
14,1011AN,1011AN,27,100,"96,3",100,85,3x25,3143,"25,93",0,"1,4"
15,1011AP,1011AP,19,100,"94,74",100,100,3x25,5034,"15,79",0,"1,7"
17,1011AR,1011AR,33,100,"96,97",100,82,3x25,7184,"27,27",0,"1,5"
19,1011AS,1011AS,13,100,"84,62",100,54,3x25,6801,"46,15",0,"1,5"
21,1011AT,1011AT,17,100,100,100,71,3x25,9116,"64,71",0,2
22,1011AV,1011AV,18,100,"94,44",100,83,3x25,4777,"27,78",0,"1,6"
23,1011AW,1011AW,21,100,"95,24",100,95,3x25,3156,"9,52",0,"1,4"
25,1011AX,1011AX,15,100,"86,67",100,100,3x25,3968,"6,67",0,"1,7"
27,1011AZ,1011AZ,14,100,100,100,93,3x25,3139,"14,29",0,"1,9"
29,1011BA,1011BC,32,100,"96,88",100,97,3x25,3287,"9,38",0,"2,2"
31,1011BD,1011BD,21,100,"76,19",100,95,3x25,4976,"4,76",0,"2,3"
33,1011BE,1011BE,10,100,100,100,90,3x25,2513,0,0,"1,2"
35,1011BG,1011BG,17,100,"70,59",100,88,3x25,2529,"17,65",0,"1,5"
36,1011BH,1011BH,26,100,"96,15",100,96,3x25,3518,"15,38",0,"1,9"
37,1011BJ,1011BJ,20,100,95,100,85,3x25,7693,15,0,"1,3"
39,1011BK,1011BK,16,100,100,100,94,3x25,2484,0,0,"2,3"
41,1011BL,1011BM,23,100,100,100,100,3x25,2345,"4,35",0,"1,9"
43,1011BN,1011BN,21,100,"71,43",100,100,3x25,3242,0,0,"1,8"
45,1011BP,1011BP,16,100,"93,75",100,100,3x25,2776,"6,25",0,"2,6"
47,1011BR,1011BR,15,100,100,100,100,3x25,2916,0,0,"1,9"
49,1011BS,1011BS,26,100,"80,77",100,96,3x25,2969,"11,54",0,"1,6"
51,1011BT,1011BT,28,100,"82,14",100,96,3x25,3178,"3,57",0,"1,2"
53,1011BV,1011BV,20,100,80,100,95,3x25,2811,5,0,"1,1"
55,1011BW,1011BW,33,100,100,100,100,3x25,2705,"6,06",0,"1,1"
57,1011BX,1011BX,22,100,100,100,100,3x25,1791,0,0,1
59,1011BZ,1011BZ,28,100,"92,86",100,96,3x25,3916,"7,14",0,"1,8"
61,1011CA,1011CA,37,100,"62,16",100,100,3x25,2279,0,0,"2,4"
63,1011CB,1011CB,23,100,"95,65",100,96,3x25,2407,0,0,"1,7"
65,1011CC,1011CC,20,100,100,100,95,3x25,2459,10,0,"1,2"
68,1011CD,1011CD,17,100,"94,12",100,100,3x25,1998,0,0,1
69,1011CE,1011CE,11,100,"90,91",100,91,3x25,2818,0,0,"1,3"
71,1011CG,1011CH,28,100,"92,86",100,86,3x25,9445,"10,71",0,"1,7"
72,1011CJ,1011CJ,16,100,100,100,94,3x25,6143,"12,5",0,"1,3"
74,1011CK,1011CK,14,100,100,100,100,3x25,2247,0,0,"1,1"
76,1011CL,1011CL,10,100,100,100,100,3x25,2034,0,0,"1,2"
78,1011CM,1011CM,63,100,"63,49",100,89,3x25,2588,"1,59",0,2
79,1011CN,1011CR,26,100,"88,46",100,85,3x25,4121,"7,69",0,"1,3"
81,1011CS,1011CS,26,100,100,100,100,3x25,1984,"3,85",0,"1,2"
83,1011CT,1011CT,18,100,100,100,100,3x25,2130,0,0,"1,4"
85,1011CV,1011CV,18,100,100,100,100,3x25,2230,"5,56",0,"1,2"
87,1011CW,1011CW,14,100,100,100,86,3x25,2870,"7,14",0,"1,2"
89,1011CX,1011CX,17,100,100,100,100,3x25,2891,0,0,"1,3"
91,1011CZ,1011CZ,20,100,95,100,95,3x25,2476,0,0,"1,1"
93,1011DB,1011DB,10,100,100,100,90,3x25,5049,10,0,1
95,1011DC,1011EA,55,100,80,100,91,3x25,3044,"7,27",0,"1,3"
96,1011EB,1011EB,24,100,100,100,100,3x25,1755,0,0,1
98,1011EC,1011EC,19,100,"89,47",100,89,3x25,6555,"15,79",0,"1,5"
100,1011ED,1011ED,14,100,100,100,100,3x25,2455,0,0,1
102,1011EE,1011EE,16,100,100,100,100,3x25,2084,0,0,1
104,1011EG,1011EG,21,100,"95,24",100,100,3x25,1316,0,0,"1,6"
106,1011EH,1011EH,36,100,"94,44",100,97,3x25,2883,"5,56",0,"1,4"
108,1011EJ,1011EJ,45,100,"88,89",100,98,3x25,5680,"6,67",0,2
111,1011EK,1011EK,26,100,"96,15",100,92,3x25,6200,"11,54",0,"1,5"
112,1011EL,1011EL,44,100,"97,73",100,100,3x25,3147,"9,09",0,"1,2"
114,1011EM,1011EM,23,100,"91,3",100,87,3x25,6264,"13,04",0,"1,3"
116,1011EN,1011EN,30,100,"96,67",100,93,3x25,7238,"16,67",0,"1,3"
118,1011ER,1011ER,10,100,100,100,90,3x25,3831,0,0,"1,4"
120,1011ES,1011ET,42,100,"97,62",100,93,3x25,5144,"11,9",0,"2,2"
121,1011EV,1011EW,47,100,"97,87",100,96,3x25,4121,"4,26",0,"2,1"
123,1011EX,1011EX,27,100,100,100,96,3x25,2222,"3,7",0,"1,4"
125,1011EZ,1011EZ,13,100,"69,23",100,100,3x25,1977,0,0,"1,8"
127,1011GA,1011GA,28,100,"92,86",100,93,3x25,2277,"10,71",0,"1,2"
128,1011GB,1011GC,21,100,"76,19",100,95,3x25,1902,0,0,"1,8"
130,1011GD,1011GD,52,100,"98,08",100,98,3x25,2675,"1,92",0,"1,2"
131,1011GG,1011GG,22,100,100,100,100,3x25,1290,"4,55",0,"1,2"
133,1011GH,1011GH,24,100,100,100,100,3x25,1396,0,0,"1,2"
135,1011GJ,1011GJ,18,100,100,100,100,3x25,1782,0,0,"1,9"
137,1011GK,1011GL,91,100,"96,7",100,97,3x25,1988,"3,3",0,"1,4"
139,1011GM,1011GM,21,100,"95,24",100,95,3x25,2057,"4,76",0,"1,2"
141,1011GN,1011GN,26,100,100,100,96,3x25,1769,"3,85",0,"1,5"
143,1011GP,1011GP,13,100,100,100,100,3x25,1236,0,0,1
145,1011GR,1011GR,33,100,100,100,97,3x25,2102,"12,12",0,"2,4"
146,1011GS,1011GS,42,100,"95,24",100,93,3x25,3774,"11,9",0,"2,2"
148,1011GT,1011GT,13,100,100,100,92,3x25,2218,"7,69",0,"1,2"
150,1011GV,1011GV,20,100,85,100,100,3x25,1554,10,0,"1,8"
152,1011GW,1011GW,13,100,"92,31",100,77,3x25,7161,"7,69",0,"1,5"
154,1011GX,1011GX,17,100,100,100,100,3x25,1583,0,0,1
155,1011GZ,1011GZ,38,100,100,100,97,3x25,1597,"5,26",0,1
157,1011HA,1011HB,224,100,"99,55",100,97,3x25,4275,"8,04",0,"1,6"
159,1011HC,1011HC,40,100,100,100,95,3x25,3323,"7,5",0,"1,4"
161,1011HD,1011HD,21,100,100,100,100,3x25,4885,"14,29",0,"1,2"
163,1011HE,1011HE,18,100,100,100,94,3x25,6562,"5,56",0,"1,5"
