;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter;Gemiddeld aantal telwielen
0;1011AA;1011AB;35;100.0;34.29;100;31;3x25;14403;40.0;22.86;1.3
1;1011AC;1011AC;39;100.0;56.41;100;28;3x80;18739;41.03;28.21;1.0
3;1011AD;1011AD;19;100.0;5.26;100;58;3x25;4026;47.37;0.0;1.5
5;1011AE;1011AE;19;100.0;10.53;100;63;3x25;3184;31.58;5.26;1.0
6;1011AG;1011AG;14;100.0;92.86;100;29;1x35;20376;50.0;35.71;1.6
8;1011AH;1011AH;21;100.0;100.0;100;67;1x25;4170;14.29;4.76;1.1
9;1011AJ;1011AJ;21;100.0;90.48;100;48;1x35;8036;38.1;38.1;1.1
11;1011AK;1011AK;13;100.0;53.85;100;46;3x25;9676;30.77;0.0;1.0
12;1011AL;1011AM;16;100.0;81.25;100;44;3x25;12731;68.75;56.25;2.0
14;1011AN;1011AN;29;100.0;79.31;100;38;1x35;2547;48.28;41.38;1.3
15;1011AP;1011AP;20;100.0;70.0;100;50;1x35;6169;55.0;45.0;1.0
17;1011AR;1011AR;32;100.0;90.63;100;44;1x35;7541;25.0;15.63;1.3
19;1011AS;1011AS;11;100.0;63.64;100;45;3x25;5247;54.55;18.18;1.4
21;1011AT;1011AT;14;100.0;92.86;100;36;3x25;7889;35.71;21.43;1.3
22;1011AV;1011AV;18;100.0;83.33;100;44;3x25;3988;50.0;44.44;1.1
23;1011AW;1011AW;20;100.0;95.0;100;55;1x35;2395;40.0;30.0;1.3
25;1011AX;1011AX;17;100.0;82.35;100;59;3x25;3906;70.59;64.71;1.0
27;1011AZ;1011AZ;30;100.0;76.67;100;53;1x35;2967;100.0;73.33;2.0
29;1011BA;1011BA;19;94.74;36.84;100;68;3x25;2228;57.89;31.58;1.0
31;1011BB;1011BC;24;100.0;95.83;100;50;1x35;3241;50.0;41.67;1.2
33;1011BD;1011BD;30;93.33;76.67;100;60;3x25;3349;46.67;46.67;1.1
35;1011BE;1011BG;30;100.0;70.0;100;47;1x35;2712;20.0;10.0;1.2
37;1011BH;1011BH;34;100.0;94.12;100;50;1x35;3105;52.94;50.0;1.1
39;1011BJ;1011BJ;22;100.0;90.91;100;45;3x25;5658;31.82;13.64;1.2
41;1011BK;1011BK;16;100.0;100.0;100;50;1x35;2159;12.5;12.5;1.0
43;1011BL;1011BM;23;100.0;95.65;100;87;1x35;2020;30.43;21.74;1.2
45;1011BN;1011BN;21;100.0;71.43;100;67;3x25;2882;19.05;19.05;1.0
47;1011BP;1011BP;18;100.0;88.89;100;78;3x25;2643;16.67;5.56;1.4
49;1011BR;1011BR;15;100.0;100.0;100;67;1x35;1794;26.67;20.0;1.2
51;1011BS;1011BS;32;100.0;78.13;100;59;3x25;2948;56.25;53.13;1.3
53;1011BT;1011BT;31;96.77;93.55;100;48;3x25;2337;45.16;45.16;1.1
55;1011BV;1011BV;23;100.0;65.22;100;61;3x25;2309;60.87;56.52;1.0
57;1011BW;1011BW;33;100.0;96.97;100;64;1x25;2280;75.76;75.76;1.0
59;1011BX;1011BX;22;100.0;100.0;100;82;1x25;1486;95.45;95.45;2.0
61;1011BZ;1011BZ;28;96.43;92.86;100;43;1x25;3793;78.57;78.57;1.0
63;1011CA;1011CA;38;100.0;57.89;100;53;3x25;1810;55.26;55.26;1.0
65;1011CB;1011CB;25;100.0;80.0;100;40;1x35;2300;76.0;76.0;1.0
67;1011CC;1011CC;21;100.0;90.48;100;48;1x25;1971;61.9;57.14;1.0
70;1011CD;1011CD;19;100.0;94.74;100;63;1x25;2321;89.47;84.21;1.5
71;1011CE;1011CE;12;83.33;75.0;100;42;3x25;2400;50.0;58.33;1.5
73;1011CG;1011CH;28;100.0;92.86;100;36;1x35;10844;21.43;7.14;1.2
74;1011CJ;1011CJ;16;100.0;100.0;100;75;1x25;4514;25.0;18.75;1.1
76;1011CK;1011CK;14;100.0;100.0;100;79;1x25;2412;7.14;7.14;1.0
78;1011CL;1011CL;10;100.0;100.0;100;80;1x25;1649;10.0;10.0;1.0
80;1011CM;1011CM;73;100.0;82.19;100;36;3x25;2492;50.68;47.95;1.0
81;1011CN;1011CN;16;100.0;81.25;100;63;3x25;4634;68.75;50.0;1.2
83;1011CP;1011CR;25;100.0;92.0;100;48;1x25;2203;44.0;40.0;1.0
85;1011CS;1011CS;26;100.0;96.15;100;69;1x25;1784;19.23;19.23;1.0
87;1011CT;1011CT;18;100.0;88.89;100;44;3x25;2435;0.0;0.0;1.0
89;1011CV;1011CV;19;100.0;100.0;100;53;1x25;1539;36.84;36.84;1.1
91;1011CW;1011CW;15;93.33;93.33;100;53;1x25;2090;13.33;13.33;1.0
93;1011CX;1011CX;19;100.0;100.0;100;68;1x25;2615;5.26;5.26;1.0
95;1011CZ;1011CZ;22;81.82;86.36;100;59;1x25;2341;22.73;22.73;1.1
97;1011DB;1011DB;10;100.0;100.0;100;90;1x25;4994;20.0;10.0;1.1
99;1011DC;1011DD;127;100.0;96.85;100;90;1x35;3945;96.85;96.06;2.0
100;1011DG;1011DG;87;100.0;98.85;100;93;1x35;3520;100.0;98.85;
101;1011DK;1011DL;68;100.0;92.65;100;76;1x35;5901;51.47;50.0;1.0
103;1011DZ;1011EA;52;100.0;80.77;100;67;1x25;2787;30.77;26.92;1.1
104;1011EB;1011EB;24;100.0;100.0;100;83;1x25;1687;66.67;62.5;1.1
106;1011EC;1011EC;19;100.0;89.47;100;47;1x25;7251;21.05;5.26;1.2
108;1011ED;1011ED;14;100.0;100.0;100;86;1x25;1554;28.57;28.57;1.0
110;1011EE;1011EE;16;100.0;100.0;100;100;1x25;1681;0.0;0.0;1.0
112;1011EG;1011EG;37;100.0;91.89;100;49;1x25;3164;40.54;37.84;1.0
114;1011EH;1011EH;40;100.0;92.5;100;48;1x25;3311;57.5;55.0;1.2
116;1011EJ;1011EJ;46;100.0;89.13;100;39;1x25;5872;34.78;28.26;1.1
119;1011EK;1011EK;27;100.0;96.3;100;33;3x25;6258;51.85;44.44;1.2
120;1011EL;1011EL;48;100.0;85.42;100;46;1x25;4994;33.33;22.92;1.1
122;1011EM;1011EM;23;100.0;86.96;100;48;1x25;4603;39.13;34.78;1.2
124;1011EN;1011EN;30;100.0;96.67;100;63;1x25;5893;30.0;23.33;1.2
126;1011ER;1011ER;10;100.0;100.0;100;40;1x25;2723;50.0;50.0;1.0
128;1011ES;1011ET;42;100.0;100.0;100;67;1x25;4984;45.24;38.1;1.2
130;1011EV;1011EW;47;100.0;100.0;100;47;1x35;3681;34.04;34.04;1.0
132;1011EX;1011EX;27;100.0;100.0;100;63;1x25;2189;55.56;55.56;1.2
134;1011EZ;1011EZ;13;100.0;69.23;100;54;3x25;1800;15.38;15.38;1.0
136;1011GA;1011GA;28;100.0;92.86;100;61;1x25;2365;75.0;64.29;1.5
137;1011GB;1011GC;21;100.0;76.19;100;38;1x25;1755;71.43;71.43;1.0
139;1011GD;1011GD;53;94.34;92.45;100;64;1x35;2868;81.13;77.36;1.3
140;1011GG;1011GG;22;100.0;100.0;100;77;1x35;1389;72.73;72.73;1.0
142;1011GH;1011GH;24;100.0;100.0;100;88;1x25;1383;83.33;79.17;1.2
144;1011GJ;1011GJ;18;100.0;100.0;100;83;1x25;2281;77.78;83.33;1.0
146;1011GK;1011GL;93;100.0;94.62;100;77;1x25;1824;69.89;68.82;1.0
148;1011GM;1011GM;21;100.0;95.24;100;62;1x25;2148;85.71;85.71;1.0
150;1011GN;1011GN;26;100.0;96.15;100;96;1x25;1851;65.38;65.38;1.0
152;1011GP;1011GP;14;100.0;92.86;100;79;1x25;4329;71.43;64.29;1.3
154;1011GR;1011GR;33;100.0;93.94;100;70;1x25;1562;66.67;66.67;1.0
155;1011GS;1011GS;42;97.62;95.24;100;40;1x25;4018;66.67;61.9;1.0
157;1011GT;1011GT;13;100.0;92.31;100;77;1x25;1992;84.62;84.62;1.0
159;1011GV;1011GV;20;100.0;80.0;100;45;3x25;2021;60.0;55.0;1.2
161;1011GW;1011GW;13;100.0;84.62;100;38;3x25;7297;76.92;76.92;1.0
163;1011GX;1011GX;19;100.0;100.0;100;89;1x25;1201;100.0;100.0;
165;1011GZ;1011GZ;38;100.0;97.37;100;92;1x25;1533;84.21;84.21;1.0
167;1011HA;1011HB;228;100.0;96.93;100;61;1x25;3087;40.35;35.09;1.1
