;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter;Gemiddeld aantal telwielen
1;1011AB;1011AB;25;100;68;100;28;3x25;14981;16;0;1,4
2;1011AC;1011AC;33;100;66,67;100;30;3x25;11210;15,15;3,03;1,3
4;1011AD;1011AD;21;100;23,81;100;57;3x25;3859;38,1;0;1,6
6;1011AE;1011AE;19;100;36,84;100;68;3x25;2989;26,32;0;1
7;1011AG;1011AG;12;100;91,67;100;50;3x25;17293;58,33;16,67;1,6
9;1011AH;1011AH;21;100;100;100;67;1x25;3187;14,29;0;1,1
10;1011AJ;1011AJ;18;100;83,33;100;39;1x25;9344;11,11;0;1,1
12;1011AK;1011AK;13;100;84,62;100;54;3x25;6333;23,08;0;1,2
13;1011AL;1011AM;14;100;92,86;100;43;3x25;7072;35,71;0;1,5
15;1011AN;1011AN;28;100;96,43;100;32;3x25;2753;10,71;0;1,2
16;1011AP;1011AP;20;100;70;100;50;1x35;5289;15;5;1,1
18;1011AR;1011AR;33;100;93,94;100;42;1x25;7010;21,21;3,03;1,2
20;1011AS;1011AS;13;100;84,62;100;46;3x25;4607;23,08;0;1,3
22;1011AT;1011AT;17;100;100;100;41;3x25;6940;23,53;0;1,4
23;1011AV;1011AV;18;100;88,89;100;50;3x25;4799;16,67;0;1,1
24;1011AW;1011AW;21;100;95,24;100;67;1x25;2725;9,52;0;1,1
26;1011AX;1011AX;15;100;86,67;100;53;3x25;3968;6,67;0;1,1
28;1011AZ;1011AZ;16;100;93,75;100;63;1x35;3298;75;68,75;1,3
30;1011BA;1011BA;13;100;23,08;100;54;3x25;1901;30,77;0;1
32;1011BB;1011BC;24;100;95,83;100;50;1x35;3383;16,67;0;1,2
34;1011BD;1011BD;23;100;78,26;100;65;3x25;4416;21,74;21,74;1,3
36;1011BE;1011BE;10;100;100;100;70;3x25;2703;0;0;1
38;1011BG;1011BG;17;100;70,59;100;82;3x25;2396;11,76;0;1,2
39;1011BH;1011BH;32;100;93,75;100;56;3x25;3376;15,63;3,13;1,1
40;1011BJ;1011BJ;22;100;90,91;100;45;1x25;6422;22,73;0;1,2
42;1011BK;1011BK;16;100;100;100;50;3x25;2560;0;0;1,2
44;1011BL;1011BM;23;100;100;100;87;1x25;1831;0;0;1
46;1011BN;1011BN;21;100;71,43;100;76;3x25;3394;0;0;1
48;1011BP;1011BP;17;100;88,24;100;76;3x25;3068;5,88;0;1,1
50;1011BR;1011BR;15;100;100;100;53;1x25;2828;20;0;1,2
52;1011BS;1011BS;26;100;76,92;100;62;3x25;3165;11,54;3,85;1,2
