;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter
1;1011AB;1011AB;24;100;79,17;100;50;3x25;15289;37,5;0
2;1011AC;1011AC;31;100;77,42;100;58;3x25;12576;16,13;0
4;1011AD;1011AD;21;100;38,1;100;52;3x25;4395;47,62;0
6;1011AE;1011AE;15;100;40;100;80;3x25;3373;33,33;0
7;1011AG;1011AG;12;100;91,67;100;83;3x25;20087;41,67;0
8;1011AH;1011AH;21;100;100;100;100;3x25;3524;14,29;0
9;1011AJ;1011AJ;18;100;94,44;100;89;3x25;2494;5,56;0
11;1011AK;1011AK;13;100;84,62;100;69;3x25;5787;30,77;0
12;1011AL;1011AM;14;100;92,86;100;71;3x25;9117;35,71;0
14;1011AN;1011AN;27;100;96,3;100;85;3x25;2723;25,93;0
15;1011AP;1011AP;19;100;94,74;100;100;3x25;4999;15,79;0
17;1011AR;1011AR;33;100;96,97;100;82;3x25;7937;27,27;0
19;1011AS;1011AS;13;100;84,62;100;54;3x25;5467;38,46;0
21;1011AT;1011AT;17;100;100;100;71;3x25;8650;64,71;0
22;1011AV;1011AV;18;100;94,44;100;83;3x25;4424;27,78;0
23;1011AW;1011AW;21;100;95,24;100;95;3x25;2690;9,52;0
25;1011AX;1011AX;15;100;86,67;100;100;3x25;4266;6,67;0
27;1011AZ;1011AZ;14;100;100;100;93;3x25;3706;14,29;0
29;1011BA;1011BC;32;100;90,63;100;97;3x25;2920;9,38;0
31;1011BD;1011BD;21;100;76,19;100;95;3x25;4340;4,76;0
33;1011BE;1011BE;10;100;100;100;90;3x25;2518;0;0
35;1011BG;1011BG;17;100;70,59;100;88;3x25;2653;17,65;0
36;1011BH;1011BH;26;100;96,15;100;96;3x25;4486;15,38;0
37;1011BJ;1011BJ;20;100;95;100;85;3x25;7257;15;0
39;1011BK;1011BK;16;100;100;100;94;3x25;2565;0;0
41;1011BL;1011BM;23;100;100;100;100;3x25;1969;4,35;0
43;1011BN;1011BN;21;100;71,43;100;100;3x25;3030;0;0
45;1011BP;1011BP;17;100;88,24;100;88;3x25;2594;5,88;0
47;1011BR;1011BR;15;100;100;100;100;3x25;2578;0;0
49;1011BS;1011BS;26;100;76,92;100;92;3x25;3146;11,54;0
51;1011BT;1011BT;31;100;93,55;100;84;3x25;2638;3,23;0
53;1011BV;1011BV;20;100;80;100;95;3x25;2874;5;0
55;1011BW;1011BW;33;100;100;100;100;3x25;2769;6,06;0
57;1011BX;1011BX;22;100;100;100;100;3x25;1635;0;0
59;1011BZ;1011BZ;28;100;92,86;100;96;3x25;3945;3,57;0
61;1011CA;1011CA;37;100;56,76;100;97;3x25;2061;0;0
63;1011CB;1011CB;23;100;86,96;100;96;3x25;2634;0;0
65;1011CC;1011CC;20;100;100;100;95;3x25;2320;10;0
68;1011CD;1011CD;17;100;94,12;100;100;3x25;2208;0;0
69;1011CE;1011CE;11;100;90,91;100;91;3x25;3013;0;0
71;1011CG;1011CH;28;100;92,86;100;86;3x25;9953;10,71;0
72;1011CJ;1011CJ;16;100;100;100;94;3x25;5250;12,5;0
74;1011CK;1011CK;14;100;100;100;100;3x25;2382;0;0
76;1011CL;1011CL;10;100;100;100;100;3x25;1876;0;0
78;1011CM;1011CM;63;100;82,54;100;75;3x25;2658;1,59;0
79;1011CN;1011CR;27;100;92,59;100;74;3x25;4314;7,41;0
81;1011CS;1011CS;26;100;100;100;100;3x25;1978;3,85;0
83;1011CT;1011CT;18;100;94,44;100;89;3x25;2318;0;0
85;1011CV;1011CV;18;100;100;100;100;3x25;2197;5,56;0
87;1011CW;1011CW;14;100;100;100;86;3x25;2445;7,14;0
89;1011CX;1011CX;17;100;100;100;100;3x25;2747;0;0
