,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter
1,1011AC,1011AC,32,100.0,65.63,100,31,3x25,11433,28.13,15.63
3,1011AD,1011AD,20,100.0,5.0,100,60,3x25,3665,45.0,0.0
5,1011AE,1011AE,18,100.0,33.33,100,67,3x25,3117,33.33,5.56
6,1011AG,1011AG,12,100.0,91.67,100,50,3x25,20056,58.33,25.0
8,1011AH,1011AH,21,100.0,100.0,100,67,1x25,3455,14.29,0.0
9,1011AJ,1011AJ,19,100.0,89.47,100,37,1x25,8680,26.32,26.32
11,1011AK,1011AK,14,100.0,71.43,100,50,3x25,7019,28.57,14.29
12,1011AL,1011AM,15,100.0,86.67,100,40,3x25,8842,66.67,40.0
14,1011AN,1011AN,28,100.0,92.86,100,32,3x25,2821,46.43,35.71
15,1011AP,1011AP,20,100.0,70.0,100,50,1x35,5574,50.0,40.0
17,1011AR,1011AR,32,100.0,93.75,100,34,3x25,8458,34.38,15.63
19,1011AS,1011AS,12,100.0,83.33,100,50,3x25,4937,50.0,33.33
21,1011AT,1011AT,11,100.0,100.0,100,55,3x25,8626,36.36,0.0
22,1011AV,1011AV,18,100.0,83.33,100,44,3x25,4603,55.56,44.44
23,1011AW,1011AW,21,100.0,95.24,100,38,1x25,2536,14.29,4.76
25,1011AX,1011AX,16,100.0,87.5,100,56,3x25,5695,43.75,68.75
27,1011AZ,1011AZ,26,100.0,73.08,100,46,1x35,6258,88.46,69.23
29,1011BA,1011BA,19,100.0,36.84,100,58,3x25,3478,52.63,31.58
31,1011BB,1011BC,24,100.0,95.83,100,58,1x35,4414,33.33,33.33
33,1011BD,1011BD,29,93.1,79.31,100,72,3x25,4853,41.38,48.28
35,1011BE,1011BG,27,100.0,81.48,100,70,3x25,2334,18.52,3.7
37,1011BH,1011BH,32,100.0,93.75,100,56,3x25,3364,15.63,9.38
39,1011BJ,1011BJ,22,100.0,90.91,100,45,1x35,4917,22.73,4.55
41,1011BK,1011BK,16,100.0,100.0,100,69,1x35,2372,12.5,6.25
43,1011BL,1011BM,23,100.0,100.0,100,83,1x35,2086,0.0,8.7
45,1011BN,1011BN,21,100.0,71.43,100,76,3x25,3170,0.0,9.52
47,1011BP,1011BP,17,100.0,88.24,100,76,3x25,3044,5.88,0.0
49,1011BR,1011BR,15,100.0,100.0,100,67,1x35,2616,26.67,6.67
51,1011BS,1011BS,28,100.0,78.57,100,64,3x25,4696,50.0,46.43
53,1011BT,1011BT,31,100.0,93.55,100,52,3x25,3095,48.39,45.16
55,1011BV,1011BV,23,100.0,69.57,100,65,3x25,3882,47.83,47.83
57,1011BW,1011BW,33,100.0,96.97,100,64,1x25,2671,72.73,72.73
59,1011BX,1011BX,22,100.0,100.0,100,82,1x25,1632,95.45,95.45
61,1011BZ,1011BZ,28,100.0,92.86,100,43,1x25,3448,78.57,78.57
63,1011CA,1011CA,37,100.0,56.76,100,73,3x25,1719,51.35,54.05
65,1011CB,1011CB,25,100.0,80.0,100,32,1x25,2430,76.0,76.0
67,1011CC,1011CC,21,100.0,100.0,100,57,3x25,2851,61.9,61.9
70,1011CD,1011CD,17,100.0,94.12,100,76,1x25,2509,88.24,88.24
71,1011CE,1011CE,12,83.33,75.0,100,50,3x25,2218,58.33,58.33
73,1011CG,1011CH,28,100.0,92.86,100,46,3x25,9706,25.0,3.57
74,1011CJ,1011CJ,16,100.0,100.0,100,81,1x25,7372,12.5,0.0
76,1011CK,1011CK,14,100.0,100.0,100,86,1x25,2305,0.0,0.0
78,1011CL,1011CL,10,100.0,100.0,100,80,1x25,1942,0.0,0.0
80,1011CM,1011CM,63,100.0,82.54,100,35,1x25,2417,26.98,41.27
81,1011CN,1011CR,28,100.0,92.86,100,50,1x25,3451,10.71,0.0
83,1011CS,1011CS,26,100.0,100.0,100,69,1x25,1896,0.0,0.0
85,1011CT,1011CT,18,100.0,88.89,100,44,1x25,2516,0.0,0.0
87,1011CV,1011CV,18,100.0,100.0,100,83,1x25,2177,5.56,0.0
89,1011CW,1011CW,15,100.0,100.0,100,53,1x25,2591,0.0,0.0
91,1011CX,1011CX,19,100.0,100.0,100,68,1x25,2209,0.0,0.0
93,1011CZ,1011CZ,22,81.82,86.36,100,59,1x25,2151,18.18,18.18
95,1011DB,1011DB,10,100.0,100.0,100,90,1x25,4955,10.0,0.0
97,1011DC,1011DD,125,100.0,97.6,100,93,1x35,3628,97.6,97.6
98,1011DG,1011DG,87,100.0,98.85,100,94,1x35,3133,98.85,98.85
99,1011DK,1011DL,67,100.0,95.52,100,84,1x35,3996,49.25,49.25
101,1011DZ,1011EA,52,100.0,80.77,100,69,1x25,3049,21.15,13.46
102,1011EB,1011EB,24,100.0,100.0,100,88,1x25,1722,33.33,37.5
104,1011EC,1011EC,19,100.0,89.47,100,47,1x25,7273,21.05,0.0
106,1011ED,1011ED,14,100.0,100.0,100,86,1x25,2000,0.0,0.0
108,1011EE,1011EE,16,100.0,100.0,100,100,1x25,1988,0.0,0.0
110,1011EG,1011EG,22,100.0,95.45,100,82,1x25,1866,0.0,0.0
112,1011EH,1011EH,37,100.0,97.3,100,76,1x25,3347,18.92,13.51
114,1011EJ,1011EJ,46,100.0,91.3,100,41,1x25,5665,8.7,2.17
117,1011EK,1011EK,27,100.0,96.3,100,56,1x25,6019,11.11,3.7
118,1011EL,1011EL,47,100.0,87.23,100,57,1x25,3826,12.77,2.13
120,1011EM,1011EM,23,100.0,91.3,100,48,1x25,5298,8.7,0.0
122,1011EN,1011EN,30,100.0,96.67,100,70,1x25,8413,16.67,0.0
124,1011ER,1011ER,10,100.0,100.0,100,40,1x25,3629,50.0,50.0
126,1011ES,1011ET,42,100.0,100.0,100,60,1x25,4957,14.29,4.76
128,1011EV,1011EW,47,100.0,100.0,100,53,3x25,4048,27.66,25.53
130,1011EX,1011EX,27,100.0,100.0,100,63,1x25,2900,33.33,22.22
132,1011EZ,1011EZ,13,100.0,69.23,100,54,3x25,2881,0.0,0.0
134,1011GA,1011GA,28,100.0,92.86,100,61,1x25,2574,67.86,53.57
135,1011GB,1011GC,21,100.0,76.19,100,38,1x25,1889,71.43,71.43
137,1011GD,1011GD,52,96.15,96.15,100,56,1x35,2592,88.46,80.77
138,1011GG,1011GG,22,100.0,100.0,100,50,1x50,1667,63.64,63.64
140,1011GH,1011GH,24,100.0,100.0,100,88,1x25,1483,83.33,75.0
142,1011GJ,1011GJ,18,100.0,100.0,100,83,1x25,2854,83.33,83.33
144,1011GK,1011GL,92,100.0,96.74,100,78,1x25,1811,68.48,67.39
146,1011GM,1011GM,21,100.0,95.24,100,62,1x25,2077,90.48,85.71
148,1011GN,1011GN,26,100.0,100.0,100,96,1x25,1699,65.38,65.38
150,1011GP,1011GP,13,100.0,100.0,100,85,1x25,1677,92.31,61.54
152,1011GR,1011GR,33,100.0,100.0,100,70,1x25,1692,63.64,60.61
153,1011GS,1011GS,42,100.0,95.24,100,40,1x25,4593,66.67,61.9
155,1011GT,1011GT,13,100.0,100.0,100,77,1x25,3277,84.62,92.31
157,1011GV,1011GV,20,100.0,80.0,100,45,1x25,2106,55.0,50.0
159,1011GW,1011GW,12,100.0,83.33,100,33,1x25,7222,58.33,75.0
161,1011GX,1011GX,17,100.0,100.0,100,100,1x25,1196,94.12,94.12
163,1011GZ,1011GZ,37,100.0,100.0,100,97,1x25,1556,97.3,86.49
165,1011HA,1011HB,228,100.0,97.81,100,64,1x25,3985,26.32,18.86
167,1011HC,1011HC,58,100.0,77.59,100,53,1x25,3426,58.62,56.9
169,1011HD,1011HD,47,100.0,57.45,100,53,3x25,11358,55.32,51.06
171,1011HE,1011HE,19,100.0,100.0,100,42,1x25,6746,63.16,57.89
173,1011HG,1011HG,28,100.0,100.0,100,75,1x25,4945,92.86,96.43
175,1011HH,1011HH,20,100.0,100.0,100,85,1x25,2315,70.0,90.0
177,1011HJ,1011HJ,16,100.0,100.0,100,50,3x25,2857,50.0,50.0
179,1011HK,1011HK,10,100.0,100.0,100,70,1x25,2647,80.0,70.0
181,1011HL,1011HL,21,100.0,100.0,100,67,1x25,1991,80.95,80.95
183,1011HM,1011HP,27,100.0,92.59,100,59,1x25,3001,92.59,88.89
185,1011HR,1011HR,47,100.0,100.0,100,79,1x25,4396,82.98,85.11
187,1011HS,1011HS,44,100.0,95.45,100,41,1x25,2558,75.0,75.0
189,1011HT,1011HT,22,100.0,100.0,100,55,1x25,4441,95.45,95.45
191,1011HV,1011HV,22,100.0,100.0,100,59,1x25,2789,90.91,90.91
193,1011HW,1011HW,29,100.0,96.55,100,41,1x25,2235,75.86,72.41
195,1011HX,1011HX,13,100.0,92.31,100,54,1x25,2151,84.62,84.62
197,1011HZ,1011HZ,42,100.0,100.0,100,69,1x25,4170,90.48,92.86
199,1011JA,1011JA,24,100.0,95.83,100,50,1x25,1524,54.17,70.83
201,1011JB,1011JB,39,100.0,100.0,100,77,1x25,2331,74.36,76.92
203,1011JC,1011JG,23,100.0,95.65,100,39,1x25,2282,65.22,69.57
205,1011JH,1011JH,97,100.0,88.66,100,44,3x25,4015,64.95,62.89
206,1011JJ,1011JJ,12,100.0,83.33,100,42,1x25,6063,25.0,8.33
208,1011JK,1011JK,12,83.33,83.33,100,67,3x25,7748,16.67,16.67
210,1011JL,1011JL,30,100.0,100.0,100,50,1x25,9069,56.67,50.0
212,1011JM,1011JM,14,100.0,71.43,100,64,1x25,5521,14.29,7.14
214,1011JN,1011JN,18,100.0,100.0,100,44,1x25,3758,88.89,88.89
216,1011JP,1011JP,14,100.0,92.86,100,43,1x25,8929,85.71,92.86
218,1011JR,1011JR,13,100.0,100.0,100,85,1x25,8949,100.0,100.0
220,1011JS,1011JT,28,100.0,85.71,100,32,1x25,16283,35.71,25.0
222,1011JV,1011JV,19,100.0,94.74,100,37,1x25,2840,10.53,5.26
224,1011JW,1011JW,10,100.0,100.0,100,50,1x25,6819,40.0,0.0
226,1011JX,1011JX,16,100.0,87.5,100,69,1x25,3947,25.0,0.0
227,1011JZ,1011JZ,19,100.0,100.0,100,74,1x25,7103,10.53,0.0
229,1011KA,1011KA,33,100.0,100.0,100,82,1x25,3672,42.42,42.42
231,1011KB,1011KB,27,100.0,96.3,100,67,3x25,6573,88.89,85.19
233,1011KC,1011KC,28,100.0,92.86,100,54,1x25,3737,67.86,67.86
235,1011KD,1011KD,17,100.0,100.0,100,47,3x25,9362,58.82,47.06
237,1011KE,1011KE,11,100.0,63.64,100,64,3x25,14245,45.45,36.36
239,1011KH,1011KH,21,100.0,95.24,100,48,1x25,3500,47.62,71.43
240,1011KJ,1011KJ,38,100.0,97.37,100,61,1x25,2444,44.74,50.0
242,1011KK,1011KK,32,100.0,93.75,100,66,1x25,2076,12.5,3.13
244,1011KL,1011KM,14,100.0,92.86,100,43,3x25,5101,57.14,50.0
246,1011KN,1011KN,22,100.0,95.45,100,59,1x25,2516,63.64,59.09
248,1011KP,1011KP,31,100.0,70.97,100,48,3x25,2962,19.35,19.35
250,1011KR,1011KR,23,100.0,82.61,100,52,1x25,2767,39.13,34.78
252,1011KS,1011KS,15,100.0,100.0,100,47,1x25,3237,53.33,53.33
254,1011KT,1011KT,29,100.0,100.0,100,62,1x25,3277,86.21,86.21
256,1011KV,1011KW,92,100.0,97.83,100,68,3x25,2901,31.52,27.17
258,1011KX,1011KZ,44,100.0,86.36,100,45,1x25,3387,29.55,22.73
260,1011LA,1011LA,12,100.0,91.67,100,75,1x25,1921,0.0,0.0
262,1011LB,1011LB,29,100.0,96.55,100,59,1x25,3793,20.69,0.0
264,1011LC,1011LC,14,100.0,100.0,100,57,1x35,2576,71.43,71.43
266,1011LD,1011LD,50,100.0,100.0,100,50,1x25,3295,56.0,52.0
268,1011LE,1011LE,44,100.0,95.45,100,41,1x25,2724,9.09,4.55
270,1011LG,1011LG,10,100.0,90.0,100,90,3x25,3175,10.0,0.0
272,1011LH,1011LH,21,100.0,100.0,100,67,1x25,2701,4.76,0.0
273,1011LJ,1011LJ,16,100.0,100.0,100,100,1x25,3506,18.75,18.75
275,1011LK,1011LL,32,100.0,96.88,100,44,3x25,3103,12.5,0.0
277,1011LM,1011LM,121,100.0,99.17,100,55,3x25,3328,6.61,2.48
279,1011LN,1011LP,17,100.0,88.24,100,71,1x25,2379,11.76,5.88
281,1011LR,1011LR,14,100.0,100.0,100,43,1x35,1973,57.14,50.0
283,1011LS,1011LS,13,100.0,100.0,100,100,1x25,1298,0.0,0.0
285,1011LT,1011LT,14,100.0,92.86,100,79,1x25,1779,7.14,0.0
287,1011LV,1011LV,16,100.0,100.0,100,75,1x25,1836,12.5,6.25
289,1011LW,1011LW,32,100.0,96.88,100,88,1x25,2079,3.13,0.0
291,1011LX,1011LX,10,100.0,80.0,100,60,3x25,7382,40.0,10.0
293,1011LZ,1011LZ,94,100.0,93.62,100,54,1x35,4458,12.77,0.0
294,1011MA,1011MB,42,100.0,97.62,100,93,1x25,2212,73.81,71.43
296,1011MC,1011MG,44,100.0,100.0,100,45,1x35,3582,27.27,20.45
298,1011MH,1011MH,48,100.0,97.92,100,56,3x25,3697,6.25,2.08
299,1011MJ,1011MJ,31,100.0,100.0,100,48,3x25,7337,16.13,0.0
300,1011MK,1011MK,55,100.0,100.0,100,65,1x35,2666,3.64,1.82
301,1011ML,1011ML,44,100.0,100.0,100,89,1x35,2564,2.27,0.0
302,1011MN,1011MN,64,100.0,96.88,100,83,1x35,3031,3.13,1.56
303,1011MP,1011MP,22,100.0,100.0,100,59,1x35,2463,0.0,0.0
304,1011MR,1011MR,18,100.0,100.0,100,56,1x35,2878,0.0,0.0
305,1011MT,1011MT,18,100.0,100.0,100,67,1x35,3115,11.11,5.56
306,1011MV,1011MV,27,100.0,100.0,100,74,1x35,2397,0.0,0.0
307,1011MX,1011MX,38,100.0,100.0,100,92,1x35,2464,5.26,2.63
308,1011MZ,1011MZ,32,100.0,100.0,100,97,1x35,3506,6.25,3.13
310,1011NA,1011NA,51,100.0,72.55,100,41,1x35,5484,27.45,21.57
312,1011NB,1011NB,23,100.0,100.0,100,43,1x25,1765,52.17,47.83
314,1011NC,1011NC,106,100.0,85.85,100,92,3x25,3440,3.77,0.94
316,1011ND,1011ND,32,100.0,96.88,100,44,3x25,5411,81.25,65.63
318,1011NE,1011NK,40,100.0,95.0,100,33,3x25,11223,42.5,25.0
320,1011NM,1011NS,76,100.0,93.42,100,54,1x25,6630,73.68,67.11
322,1011NV,1011NV,43,100.0,93.02,100,49,1x35,5156,25.58,9.3
324,1011NX,1011PB,43,100.0,100.0,100,60,1x25,3829,74.42,65.12
326,1011PC,1011PG,179,100.0,90.5,100,50,1x25,7453,54.19,45.25
