;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter
2;1011AC;1011AC;22;100;72,73;100;41;G4;5611;0;22,73
3;1011AD;1011AE;11;100;45,45;100;82;G4;876;0;9,09
6;1011AG;1011AH;27;100;100;100;96;G4;2227;0;18,52
9;1011AJ;1011AJ;15;100;93,33;100;73;G4;1664;0;40
13;1011AM;1011AN;29;100;93,1;100;83;G4;2394;0;55,17
16;1011AP;1011AP;19;100;73,68;100;89;G4;3272;0;47,37
18;1011AR;1011AR;19;100;100;100;63;G4;2142;0;26,32
20;1011AS;1011AV;20;100;100;100;65;G4;4695;0;40
23;1011AW;1011AW;13;100;100;100;92;G4;1262;0;7,69
25;1011AX;1011AX;14;100;92,86;100;93;G4;2297;0;71,43
28;1011AZ;1011AZ;30;100;73,33;100;93;G4;1342;0;66,67
30;1011BA;1011BA;15;100;40;100;87;G4;1025;0;33,33
31;1011BB;1011BC;22;100;90,91;100;91;G4;2264;0;40,91
34;1011BD;1011BD;20;100;95;100;90;G4;2192;0;65
36;1011BE;1011BG;16;100;93,75;100;88;G4;2070;0;12,5
38;1011BH;1011BH;29;100;96,55;100;83;G4;1707;0;37,93
40;1011BJ;1011BJ;16;100;100;100;69;G4;3006;0;25
42;1011BK;1011BK;14;100;92,86;100;86;G4;1515;0;7,14
44;1011BL;1011BM;20;100;100;100;85;G4;1212;0;10
46;1011BN;1011BN;15;100;86,67;100;73;G4;1402;0;13,33
48;1011BP;1011BP;15;100;93,33;100;87;G4;2430;0;0
50;1011BR;1011BR;11;100;100;100;100;G4;1554;0;9,09
52;1011BS;1011BS;28;100;75;100;71;G4;1825;0;46,43
54;1011BT;1011BT;27;100;96,3;100;89;G4;1564;0;44,44
56;1011BV;1011BV;21;100;66,67;100;67;G4;1594;0;57,14
58;1011BW;1011BW;27;100;100;100;100;G4;1066;0;74,07
60;1011BX;1011BX;20;100;100;100;100;G4;941;0;95
61;1011BZ;1011BZ;25;100;100;100;80;G4;1208;0;84
64;1011CA;1011CA;24;100;79,17;100;79;G4;1202;0;75
66;1011CB;1011CB;18;100;94,44;100;100;G4;1446;0;94,44
67;1011CC;1011CC;19;100;89,47;100;95;G4;1599;0;52,63
69;1011CD;1011CD;16;100;100;100;94;G4;1315;0;93,75
72;1011CE;1011CH;34;100;97,06;100;88;G4;2168;0;23,53
75;1011CJ;1011CJ;15;100;100;100;100;G4;1225;0;6,67
77;1011CK;1011CK;12;100;100;100;100;G4;1248;0;0
79;1011CL;1011CM;68;100;91,18;100;94;G4;1119;0;42,65
82;1011CN;1011CN;10;100;90;100;90;G4;2417;0;60
84;1011CP;1011CR;16;100;100;100;88;G4;2010;0;12,5
86;1011CS;1011CS;22;100;100;100;86;G4;1396;0;0
88;1011CT;1011CT;17;100;94,12;100;100;G4;1276;0;0
89;1011CV;1011CV;17;100;100;100;100;G4;1135;0;0
91;1011CW;1011CW;13;100;100;100;100;G4;1079;0;0
94;1011CX;1011CX;19;100;100;100;95;G4;988;0;0
96;1011CZ;1011CZ;19;100;100;100;95;G4;1199;0;21,05
98;1011DB;1011DD;109;100;97,25;100;98;G4;864;0;88,99
102;1011DL;1011EA;46;100;95,65;100;85;G4;1739;0;26,09
105;1011EB;1011EB;21;100;100;100;100;G4;896;0;57,14
106;1011EC;1011EC;18;100;88,89;100;67;G4;2565;0;5,56
109;1011ED;1011ED;12;100;100;100;92;G4;1073;0;0
111;1011EE;1011EE;16;100;100;100;100;G4;894;0;0
112;1011EG;1011EG;21;100;100;100;95;G4;2917;0;0
115;1011EH;1011EH;34;100;97,06;100;91;G4;1325;0;26,47
116;1011EJ;1011EJ;34;100;100;100;94;G4;1511;0;2,94
118;1011EK;1011EK;23;100;91,3;100;87;G4;2793;0;4,35
120;1011EL;1011EL;37;100;89,19;100;89;G4;1270;0;10,81
123;1011EM;1011EM;15;100;93,33;100;80;G4;2618;0;0
125;1011EN;1011EN;25;100;100;100;92;G4;2751;0;4
127;1011ER;1011ER;10;100;100;100;100;G4;1567;0;50
128;1011ES;1011ET;38;100;100;100;97;G4;1498;0;7,89
131;1011EV;1011EW;44;100;97,73;100;98;G4;1271;0;27,27
132;1011EX;1011EX;25;100;100;100;96;G4;1226;0;16
135;1011EZ;1011GA;31;100;96,77;100;97;G4;1090;0;38,71
137;1011GB;1011GD;60;100;98,33;100;97;G4;1186;0;81,67
141;1011GG;1011GG;19;100;100;100;100;G4;1231;0;63,16
143;1011GH;1011GH;20;100;100;100;90;G4;1152;0;75
145;1011GJ;1011GJ;16;100;100;100;100;G4;1279;0;81,25
146;1011GK;1011GL;79;100;100;100;99;G4;776;0;69,62
148;1011GM;1011GM;18;100;100;100;100;G4;1359;0;88,89
151;1011GN;1011GN;26;100;96,15;100;96;G4;1518;0;65,38
152;1011GP;1011GR;37;100;100;100;100;G4;1090;0;64,86
155;1011GS;1011GS;36;100;94,44;100;89;G4;1471;0;58,33
157;1011GT;1011GT;10;100;90;100;90;G4;1043;0;80
160;1011GV;1011GV;15;100;86,67;100;87;G4;1364;0;60
161;1011GW;1011GW;10;100;80;100;60;G4;3608;0;60
163;1011GX;1011GX;13;100;100;100;92;G4;1124;0;100
165;1011GZ;1011GZ;34;100;100;100;100;G4;871;0;88,24
167;1011HA;1011HB;206;100;99,03;100;98;G4;1137;0;16,99
170;1011HC;1011HC;48;100;77,08;100;96;G4;859;0;60,42
171;1011HD;1011HD;40;100;55;100;95;G4;1173;0;52,5
173;1011HE;1011HE;18;100;100;100;94;G4;1374;0;61,11
175;1011HG;1011HG;26;100;100;100;88;G4;980;0;96,15
177;1011HH;1011HH;21;100;100;100;100;G4;1123;0;95,24
180;1011HJ;1011HJ;14;100;100;100;79;G4;1429;0;50
181;1011HK;1011HK;10;100;100;100;90;G4;1690;0;70
184;1011HL;1011HL;20;100;100;100;100;G4;1120;0;80
186;1011HM;1011HP;24;100;100;100;83;G4;1615;0;95,83
188;1011HR;1011HR;42;100;100;100;90;G4;1546;0;83,33
189;1011HS;1011HS;38;100;100;100;89;G4;1300;0;81,58
191;1011HT;1011HT;20;100;100;100;90;G4;1696;0;95
194;1011HV;1011HV;20;100;100;100;85;G4;1386;0;90
195;1011HW;1011HW;23;100;100;100;91;G4;2086;0;78,26
197;1011HX;1011HX;11;100;100;100;91;G4;1357;0;90,91
200;1011HZ;1011HZ;38;100;100;100;87;G4;1425;0;97,37
202;1011JA;1011JA;18;100;94,44;100;83;G4;1515;0;88,89
204;1011JB;1011JB;36;100;97,22;100;89;G4;1151;0;75
206;1011JC;1011JH;92;100;94,57;100;95;G4;1487;0;75
